session,participant,order,target,category,lname,nation,religion,caste,ig_caste,q1,q2,q3
A,3,10,15,4,Haq,Indian,Muslim,OBC,obc,1,7,82
A,3,11,9,3,Madar,Indian,Hindu,SCST,obc,1,7,72
A,3,12,16,4,Sheikh,Indian,Muslim,OBC,obc,1,1,85
A,3,13,10,3,Kamble,Indian,Hindu,SCST,obc,0,7,87
A,3,14,14,4,Mulla,Indian,Muslim,OBC,obc,0,1,88
A,3,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,7,90
A,3,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,1,1,82
A,3,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,0,7,90
A,3,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,95
A,3,19,8,2,Pal,Indian,Hindu,OBC,obc,1,7,98
A,3,20,17,5,Gurung,Foreign,Hindu,N/A,obc,0,1,80
A,3,21,2,1,Joshi,Indian,Hindu,GM,obc,1,7,92
A,3,22,1,1,Desai,Indian,Hindu,GM,obc,1,7,98
A,3,23,13,4,Nadaf,Indian,Muslim,OBC,obc,1,7,91
A,3,24,12,3,Harijan,Indian,Hindu,SCST,obc,1,7,98
A,4,1,7,2,Sambrani,Indian,Hindu,OBC,gm,1,1,85
A,4,2,23,6,Akhand,Foreign,Muslim,N/A,gm,0,1,80
A,4,3,18,5,Thapa,Foreign,Hindu,N/A,gm,0,7,90
A,4,4,5,2,Kale,Indian,Hindu,OBC,gm,1,7,95
A,4,5,3,1,Deshpande,Indian,Hindu,GM,gm,1,7,97
A,4,6,22,6,Mir,Foreign,Muslim,N/A,gm,0,1,79
A,4,7,11,3,Wadder,Indian,Hindu,SCST,gm,0,1,70
A,4,8,4,1,Kulkarni,Indian,Hindu,GM,gm,1,1,85
A,4,9,24,6,Mirza,Foreign,Muslim,N/A,gm,0,7,85
A,4,10,15,4,Haq,Indian,Muslim,OBC,gm,NA,7,80
A,4,11,9,3,Madar,Indian,Hindu,SCST,gm,1,7,60
A,4,12,16,4,Sheikh,Indian,Muslim,OBC,gm,1,1,92
A,4,13,10,3,Kamble,Indian,Hindu,SCST,gm,1,7,85
A,4,14,14,4,Mulla,Indian,Muslim,OBC,gm,0,1,80
A,4,15,21,6,Sheikh,Foreign,Muslim,N/A,gm,0,7,90
A,4,16,20,5,Dissanayake,Foreign,Hindu,N/A,gm,0,1,80
A,4,17,19,5,Prasanna,Foreign,Hindu,N/A,gm,1,7,91
A,4,18,6,2,Waghmore,Indian,Hindu,OBC,gm,1,7,94
A,4,19,8,2,Pal,Indian,Hindu,OBC,gm,1,7,96
A,4,20,17,5,Gurung,Foreign,Hindu,N/A,gm,0,1,98
A,4,21,2,1,Joshi,Indian,Hindu,GM,gm,1,7,91
A,4,22,1,1,Desai,Indian,Hindu,GM,gm,0,7,98
A,4,23,13,4,Nadaf,Indian,Muslim,OBC,gm,1,7,91
A,4,24,12,3,Harijan,Indian,Hindu,SCST,gm,1,7,97
A,5,1,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,90
A,5,2,23,6,Akhand,Foreign,Muslim,N/A,obc,0,1,20
A,5,3,18,5,Thapa,Foreign,Hindu,N/A,obc,1,4,20
A,5,4,5,2,Kale,Indian,Hindu,OBC,obc,1,7,86
A,5,5,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,80
A,5,6,22,6,Mir,Foreign,Muslim,N/A,obc,0,4,30
A,5,7,11,3,Wadder,Indian,Hindu,SCST,obc,0,1,85
A,5,8,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,92
A,5,9,24,6,Mirza,Foreign,Muslim,N/A,obc,0,4,30
A,5,10,15,4,Haq,Indian,Muslim,OBC,obc,0,4,25
A,5,11,9,3,Madar,Indian,Hindu,SCST,obc,0,1,80
A,5,12,16,4,Sheikh,Indian,Muslim,OBC,obc,0,4,50
A,5,13,10,3,Kamble,Indian,Hindu,SCST,obc,0,4,87
A,5,14,14,4,Mulla,Indian,Muslim,OBC,obc,0,4,55
A,5,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,4,5
A,5,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,4,50
A,5,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,1,82
A,5,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,86
A,5,19,8,2,Pal,Indian,Hindu,OBC,obc,0,7,87
A,5,20,17,5,Gurung,Foreign,Hindu,N/A,obc,1,4,55
A,5,21,2,1,Joshi,Indian,Hindu,GM,obc,1,7,84
A,5,22,1,1,Desai,Indian,Hindu,GM,obc,1,7,92
A,5,23,13,4,Nadaf,Indian,Muslim,OBC,obc,0,4,25
A,5,24,12,3,Harijan,Indian,Hindu,SCST,obc,0,4,89
A,6,1,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,95
A,6,2,23,6,Akhand,Foreign,Muslim,N/A,obc,0,4,75
A,6,3,18,5,Thapa,Foreign,Hindu,N/A,obc,1,4,80
A,6,4,5,2,Kale,Indian,Hindu,OBC,obc,1,7,90
A,6,5,3,1,Deshpande,Indian,Hindu,GM,obc,0,4,70
A,6,6,22,6,Mir,Foreign,Muslim,N/A,obc,0,1,50
A,6,7,11,3,Wadder,Indian,Hindu,SCST,obc,0,4,60
A,6,8,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,98
A,6,9,24,6,Mirza,Foreign,Muslim,N/A,obc,0,1,69
A,6,10,15,4,Haq,Indian,Muslim,OBC,obc,0,1,50
A,6,11,9,3,Madar,Indian,Hindu,SCST,obc,0,4,80
A,6,12,16,4,Sheikh,Indian,Muslim,OBC,obc,0,1,40
A,6,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,7,98
A,6,14,14,4,Mulla,Indian,Muslim,OBC,obc,0,1,60
A,6,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,7,50
A,6,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,1,40
A,6,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,7,100
A,6,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,92
A,6,19,8,2,Pal,Indian,Hindu,OBC,obc,1,7,85
A,6,20,17,5,Gurung,Foreign,Hindu,N/A,obc,0,4,80
A,6,21,2,1,Joshi,Indian,Hindu,GM,obc,1,7,90
A,6,22,1,1,Desai,Indian,Hindu,GM,obc,1,7,0
A,6,23,13,4,Nadaf,Indian,Muslim,OBC,obc,0,4,79
A,6,24,12,3,Harijan,Indian,Hindu,SCST,obc,0,7,100
A,7,1,7,2,Sambrani,Indian,Hindu,OBC,gm,1,1,80
A,7,2,23,6,Akhand,Foreign,Muslim,N/A,gm,0,1,70
A,7,3,18,5,Thapa,Foreign,Hindu,N/A,gm,1,7,96
